CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,D001_01,D002_01,D003_01,D004_01,D005_01,D006_01,D007_01,D008_01,D009_01,D010_01,D011_01,D012_01,D013_01,D014_01,D015_01,D016_01,D017_01,D018_01,D019_01,D020_01,D021_01,D022_01,D023_01,D024_01,D025_01,D026_01,D027_01,D028_01,D029_01,D030_01,D031_01,D032_01,D033_01,D034_01,D035_01,D036_01,D037_01,D038_01,D039_01,D040_01,EX01_01,EX01_02,EX01_03,EX01_04,EX01_05,EX01_06,EX01_07,EX01_08,EX01_09,EX01_10,EX01_11,EX01_12,EX01_13,EX01_14,EX01_15,EX01_16,EX01_17,EX01_18,EX01_19,EX01_20,F001_01,F002_01,F003_01,F004_01,F005_01,F006_01,F007_01,F008_01,F009_01,F010_01,F011_01,F012_01,F013_01,F014_01,F015_01,F016_01,F017_01,F018_01,F019_01,F020_01,F021_01,F022_01,F023_01,F024_01,F025_01,F026_01,F027_01,F028_01,F029_01,F030_01,F031_01,F032_01,F033_01,F034_01,F035_01,F036_01,F037_01,F038_01,F039_01,F040_01,Q001_01,Q001_02,Q001_03,Q001_04,Q002_01,Q002_02,Q002_03,Q002_04,Q003_01,Q003_02,Q003_03,Q003_04,Q004_01,Q004_02,Q004_03,Q005,Q006,Q007_01,R001_CP,R001x01,R001x02,R001x03,R001x04,R001x05,R001x06,R001x07,R001x08,R001x09,R001x10,R001x11,R001x12,R001x13,R001x14,R001x15,R001x16,R001x17,R001x18,R001x19,R001x20,R001x21,R001x22,R001x23,R001x24,R001x25,R001x26,R001x27,R001x28,R001x29,R001x30,R001x31,R001x32,R001x33,R001x34,R001x35,R001x36,R001x37,R001x38,R001x39,R001x40,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME031,TIME032,TIME033,TIME034,TIME035,TIME036,TIME037,TIME038,TIME039,TIME040,TIME041,TIME042,TIME043,TIME044,TIME045,TIME046,TIME047,TIME048,TIME049,TIME050,TIME051,TIME052,TIME053,TIME054,TIME055,TIME056,TIME057,TIME058,TIME059,TIME060,TIME061,TIME062,TIME063,TIME064,TIME065,TIME066,TIME067,TIME068,TIME069,TIME070,TIME071,TIME072,TIME073,TIME074,TIME075,TIME076,TIME077,TIME078,TIME079,TIME080,TIME081,TIME082,TIME083,TIME084,TIME085,TIME086,TIME087,TIME088,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
120,,,avila,interview,4/13/23 3:26,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,2,1,2,2,1,1,1,2,2,2,1,2,2,2,,,,,,,,"Young girl, around 3 or 4 with big eyes and a tear-streaked face",,"Boy, age 4, tear stained cheeks, sad eyes","YOung girl, age 3 or 4, colorful clothing and a beaded necklace",,,,,,,"School aged boy out in the town square with short hair, big brown eyes and no shirt","This emaciated child, age 3 ",,"Small boy, age 3 with pouty lips",,,,"A baby, maybe age 1 or 2 with brown eyes as big as saucers","This young boy, maybe 3 years old with pudgy arms and a round face",,"Girl, age 5, green eyes, scars on forehead",,,School-aged boy with short hair and brown eyes,"Young boy, age 4, brown eyes, medical band","Young girl, brown eyes with tears rolling from them",,,,"Young boy, age 5 ",,,,2,6,2,1,2,2,5,3,3,4,5,6,2,6,3,5,3,4,4,2,Stubbornness,This child is frustrated with the situation and not having any of it,Disbelief,Confused ,Upset and annoyed,"This child is hopeful, ready to learn","Relief, as he slips away from the hustle and bustle of his life",,Despair,,,Upset but relieved that things may be getting better,Lonliness,Trying to force a smile when he is ready to go home ,This boy feels disheartened,This child is feeling frustrated and over tired,Tired of being left behind,,,Increduluity,,Playing by the rules but tired,Happy for the food and wants to keep it without anyone taking it,Mischief,,,"Incredulous, cannot believe this is happening at this moment",,Annoyed at his parents,Feeling playful while staying warm cozied up in clothes,,,,Upset but calm as he's by something familiar,THis person is apprehensive but also just waiting ,This child feels unsure about what's going on and is ready for comfort,,Baby upset that he didn't get what he asked for ,Frustration but relieved it's passing,"Looking out in the distance, this child is feeling lost and wondering when his parents will return to take him home",It got repetitive and I wanted to give more variety in answers but didn't have more ideas,Random,Not really,No,3,3,3,5,5,3,5,5,female,Caucasian,45,2,1,5,23,8,6,15,29,26,25,31,36,7,33,38,37,30,27,21,3,14,23,28,10,20,1,17,34,4,18,12,24,40,35,16,2,19,9,39,5,32,11,13,22,7,42,2,13,2,18,4,13,2,12,2,17,4,28,2,38,8,45,2,12,3,20,4,25,3,21,2,11,2,20,3,20,2,15,2,12,11,37,3,22,3,14,2,25,3,15,2,30,1,11,3,30,3,33,4,18,3,20,2,14,3,20,4,34,3,21,3,25,2,20,4,71,2,42,2,24,3,24,3,17,2,33,71,14,27,57,8,,1278,,4/13/23 3:47,1,0,87,87,0,0,1.33
131,,,avila,interview,4/13/23 13:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,7,21,25,2,28,19,30,8,6,36,13,35,23,16,31,5,24,11,10,37,15,26,20,12,32,34,18,1,9,14,3,4,29,27,38,40,39,17,22,33,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,4/13/23 13:20,0,0,2,2,,,1.87
132,,,avila,interview,4/13/23 13:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,33,2,37,30,8,32,20,19,11,7,5,21,27,16,9,13,36,1,40,14,6,10,3,15,28,12,31,26,25,18,34,4,35,38,29,17,24,23,39,22,9,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,51,,4/13/23 13:22,0,0,67,67,0,0,0.64
134,,,avila,interview,4/13/23 13:48,2,1,,1,2,2,2,1,2,,1,,1,,,1,,,2,1,1,2,2,2,1,1,,,2,,1,,2,2,,,,,2,,,He is approximately 10,,He is a 1sr grader - 6. ,,,,The child is crying and appears to be elementary school age - perhaps 7 or 8,,,She is young - approximately five ,,He appears to be a young teen around 12 and is crying ,,,She is approximately 2 and is crying ,,,,He is young and standing by gathering baskets,"Young child, perhaps male, being held by an older person",,,,,He is 4 or 5,,,,,He is a pre-teen around 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This young boy looks weary and hesitant of the person taking the picture ,,,,He is scared and crying ,She is sad,He is curious ,,She looks sad and tired ,,,,,,,,,,He is hungry and in pain,,,He looks sad and perhaps trapped,He is weary hungry and concerned ,He is waiting patiently for something in a room with other children ,,,,,She is tired and a bit dejected ,,,,She is sad,She is sick and crying ,,,,,He is trying to appear calm but is nervous ,,,,,,,,,,,,,,,,,,,,27,19,33,11,20,8,21,1,22,13,16,31,24,9,29,6,2,26,4,34,5,23,39,7,25,38,30,18,17,27,36,37,10,35,40,14,28,32,3,12,15,12,64,4,47,4,31,,,3,36,3,26,5,21,3,17,4,49,3,24,,,6,27,,,3,29,,,,,4,34,,,,,10,21,4,38,5,62,3,35,3,41,4,42,3,3,3,26,,,,,3,743,,,4,34,,,5,14,3,19,,,,,,,,,3,39,,,,,,,,,907,,4/13/23 14:15,0,0,51,80,0,0,0.92
136,,,avila,interview,4/13/23 14:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,38,6,9,16,7,8,15,12,40,30,11,22,5,28,32,20,21,25,39,36,34,24,19,14,17,35,27,26,13,33,10,4,2,1,37,29,23,3,18,31,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,22,,4/13/23 14:34,0,0,77,77,0,0,1.23
137,,,avila,interview,4/13/23 14:43,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,Six year old boy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They feel rudderless apathy based on difficult experiences ,,,,,,,Sorrow surrounding uncertainty if there's hope.,,,,,,,,,,,,,,,,,,,,,,,29,36,18,29,37,9,20,35,11,39,4,6,17,34,12,19,22,5,24,23,40,32,31,26,15,38,30,28,2,1,27,8,25,10,16,7,33,21,13,3,14,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,41,,,,,,,,,,,,,,,,,,,,,3,803,,,,,,,,,,,,,9,45,3,2,,,,,,,,,,,,,156,,4/13/23 14:59,0,0,75,76,0,0,0.93
144,,,avila,interview,4/13/23 17:17,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,15,19,2,28,1,11,38,16,12,20,21,29,33,18,24,36,23,8,40,35,34,7,3,5,17,31,4,39,32,13,26,14,10,9,22,37,25,6,30,27,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,4/13/23 17:17,0,0,31,32,0,0,1.89
145,,,avila,interview,4/13/23 17:44,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,27,22,40,29,8,30,26,39,1,11,37,33,18,15,31,36,10,20,28,17,24,32,14,13,9,16,7,21,23,2,19,4,35,5,25,38,12,6,34,3,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,4/13/23 17:44,0,0,55,55,0,0,1.72
147,,,avila,interview,4/13/23 18:34,,,,,,,,,,,,2,1,,,,,1,,2,,,,,,1,2,,2,2,1,2,1,2,,,,2,2,2,,,,,,,,,,,,,Very sad boy about 13 ,,,,,Boy about 8 years old ,,,,,,,,Little boy about 6 years old ,,,,,Girl about 11 yrs ,,4 year old little girl so sad ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Has been hurt and is sad because of it ,,,,,,,,His face has a sarcastic look. He has a look like you got to be kidding! ,,,,,,,"She has eaten but maybe not exactly nutritious, feeling lonely",,She is contemplating something and looks bored,He has no clothes but what he has found something for now. Concerned it could be taken away,,Waiting in line wondering what is coming next ,,He is so sad and just wants to sleep,,,,He is so sad and wants to know why ,,He had been crying but he is ready to take on the day. ,,,,,,,,,,,,,,,,,,,34,31,29,26,32,27,18,13,38,12,40,20,34,30,33,39,7,16,22,28,19,21,10,36,11,5,35,8,17,1,4,9,37,14,23,2,24,6,25,3,15,19,6,,,,,,,,,,,,,,,,,,,,,,,2,40,3,25,,,,,,,,,3,19,,,2,75,,,,,,,,,,,5,24,3,43,,,3,57,3,51,14,300,2,70,2,68,3,115,,,,,,,2,146,2,3,2,75,,,,,,,694,,4/13/23 18:54,0,0,79,82,0,0,1
148,,,avila,interview,4/13/23 19:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,37,33,26,25,7,6,2,40,39,30,11,14,9,13,21,32,36,8,5,4,12,34,29,27,31,1,23,17,16,20,38,10,15,24,35,28,19,22,3,18,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,,,,,,,,,,16,,4/13/23 19:09,0,0,75,76,0,0,2.01
152,,,avila,interview,4/13/23 23:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,25,12,13,32,23,24,27,1,33,7,21,28,9,40,6,36,5,2,3,37,8,39,4,29,16,11,19,20,34,17,26,14,31,15,18,10,22,38,35,30,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,4/13/23 23:32,0,0,2,2,,,2.88
155,,,avila,interview,4/13/23 23:51,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,2,1,1,2,2,1,1,1,1,2,2,1,,This young man is approximately 9 to 12 years old - male,Approximately 4/5 years of age - male child,Approximately 8 year old male ,,,,,,Approximately 6/7 year old male child,A 5/6 year old young girl. ,A young girl around 10 to 12 years old. ,Approximately a 12 to 14 year old male. ,Three or four year old male child. ,"Approximately 12 to 13 years old, young man ",,,,,,Approximately 2/3 year old male. ,Approximately 9/10 year old male. ,,Approximately 6/7 year old male child,,,,Approximately 8 to 10 year old young girl. ,,An 8 to 9 year old male child. ,Approximately 10 to 12 year old male,,,Approximately 7 years of age young male. ,Approximately 4 5 year old male child ,Approximately 5 to 6 year old male child ,Approximately 5/6 year old male child.,,,Approximately 4 year old male child,4,7,2,2,5,1,1,1,7,7,3,1,7,7,1,7,7,7,7,3,"This is a male child in a starvation, and poverty state, he is scared, angry and confused. ",,,,"This child is angry, and afraid, he has seen things he should not have had to see, perhaps he has lost someone very close to him. ","This little girl is so sad and afraid, she has seen and experienced things she is way to young to see. ","This young man lives in a 3rd world county, he shows a lack of trust in his demeanor, and possibly some anger.","This child feels afraid angry and confused, possibly alone. ","This is a young child around 6 or 7, there is sadness and disappointment in his life, possibly anger as well, he has seen things he should not have. ",,,,,,,"This baby is afraid, possibly hungry, but definitely starving for affection, confused and needs arms of love to assure this child it's okay ","This young man seems to be angry, but most of all hurting, afraid or even confused, he has lost someone, or seen something terrible. ","This young man likes the water, however, his eyes detect some fear, insecurity.","This child is in a starvation state, emancipated and very afraid and confused. ","A 4/5 year old young child, living in poverty, he looks lost to me and does not understand all that is happening. ",,,"This child is hungry and possibly ill, he is afraid, untrusting, he seems to be emancipated. ",,"This is a baby that is afraid and confused, ","This child is confused and his life is one of simple poverty, and hunger, there is a sadness in his eyes. ","This young man is hungry, there is pain and possibly poverty in his life, he doesn't understand. ",,"This young girl is sad and angry, there is a lack of trust in her face, she longs to be loved and feel safe. ",,,"A young child that looks to be very frail, possibly ill, he is very fearful and confused. ","This child is hungry and afraid, she has to be confused as well. ",,,,,"This is a male baby afraid, and confused, possibly hungry, even angry. ","This young man has seen a lot, he is afraid, somewhat confused and seeks affirmation from the adults he should be able to trust. ",,"Intense, and heartbreaking ",I chose one and then another ,"Yes, the discribe was simple, the feel was challanging",Yes,5,4,1,5,5,4,1,5,Female ,White/Caucasian ,68,6,3,4,39,2,27,15,16,34,17,30,9,36,18,37,39,3,20,28,32,12,38,10,1,14,19,13,33,11,8,31,25,35,26,24,5,22,6,21,7,40,29,4,23,7,133,3,128,304,1638,6,54,3,22,4,149,3,69,2,100,3,82,3,177,4,48,3,30,4,54,5,42,5,30,11,115,4,181,4,149,9,124,3,107,3,144,6,31,4,30,2,96,6,27,3,123,5,86,9,166,6,84,3,68,6,73,4,26,3,124,2,85,4,62,4,38,5,78,11,58,3,73,5,165,4,35,171,55,57,189,31,,2636,,4/14/23 1:32,1,0,87,87,0,0,0.61
156,,,avila,interview,4/13/23 23:51,2,2,1,2,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,1,2,1,2,1,2,1,1,2,2,,,This is a young male. Maybe 5. The have large ears and are being wrapped in an orange shirt ,,This is a young girl. Her shirt is traditional tribal attire ,"This is a very young girl, maybe 4. She is wearing a fairly heavy jacket and her ears are pierced. She also has some blemishes on her face and neck ","This is a young male, maybe 5. They are wearing a white shirt ",,"This is a young kid maybe 8-10, male appearance. ",,"They have a scar on their forehead. She is a young girl, maybe 4-6",,,This person is a young male maybe 1. They have a stripped shirt on ,This is a young male. They are maybe 8. They seem malnourished ,This is a young girl probably less than 1. She only has 2 teeth in and her shirt is dirty with holes ,"This is a young boy, maybe 5 or 6.",,"This is a young male, maybe 2. They are severely malnourished ","This is a young girl, maybe 4. Her shirt is dirty and unbuttoned and her hair is halfway braided ","This is a young kid maybe 4, probably male. ",,This is a young child maybe 4. They have crumbs on their face and dirt all over. They are also wearing a yellow bracelet ,This is a young girl maybe 6 or 7 ,,,,,"This is an older male, maybe 10. They have dirt in their hairline and are wearing s yellow outfit ",,This is a young male maybe 10. They have a blue shirt on,,"Young, big eyes, crying, open mouth ",,"This is a male toddler, maybe 3 or 4. Their shirt is perfectly white. They have a scar on their forehead ",,This is a young girl - they are maybe 9. They have a green shirt in on,"This is a young child, possibly not even a year old. Female appearance ",,,7,2,6,7,1,6,4,2,4,7,4,6,5,7,1,5,6,1,2,7,This person seems somewhere between happy and disgusted. They look like they are teastunh the camera ,This person seems very angry or annoyed. They are not smiling and their pupils ar every small ,,This person looks very confused and distressed. They have been crying ,,,,This person seems upset. They have been crying and it looks like it took all the energy out of them ,,This person just finished crying. They are very upset and still look like they could continue to cry if provoked ,,This person is very lost and confused. They are looking for a way out or where to go next ,This person is visibly upset and have been crying. ,,,,,This person looks exhausted. They look like they had a long day and just need a rest ,,,,The kids looks lost and scared,,,"This person was upset. They cried, but seem to be content and relaxed now ",This person seems bored. They seem to have been doing the same thing for a long time and are over it ,"This person looks tired. They seem annoyed with the sutauatikn they are in. Like they are saying ""again?"" ",This person seems angry. They are staring at the camera very intensely ,,This person seems very cold. They are wrapped in a blanket for comfort or protect from what they have just whitenesses ,,This person looks very confused. They are surrounded by people and don't know where to look or what to expect ,,This person seems very upset. They are clinging to the object next to them for safety ,,"This person seems angry. They have very little expression on their face, but what is there is but positive ",,,This person looks very overwhelmed. They look shocked ,This child looks very upset. They have been crying ,Difficult - you had to think about feel and how to discribe those feelings ,Went back and forth ,Yes - Discribe ,Most of the people in feel seemed to be crying ,1,3,2,5,4,5,4,2,Female,White,22,2,1,4,40,33,22,21,40,9,13,38,17,18,24,4,11,39,23,35,27,2,20,10,6,32,5,12,19,36,30,14,1,16,26,31,37,28,8,34,15,7,3,25,29,17,34,2,51,2,34,3,32,2,36,2,40,3,48,3,17,2,21,2,39,3,25,2,102,3,23,2,17,3,38,2,28,2,50,2,33,2,20,2,35,2,39,3,35,2,28,1,35,2,18,2,25,2,22,3,30,2,22,3,32,2,36,2,21,2,26,4,30,2,29,3,42,2,47,3,27,3,29,3,30,2,20,91,16,20,102,11,,1624,,4/14/23 0:20,1,0,87,87,0,0,1.18
165,,,avila,interview,4/13/23 23:59,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,22,28,30,36,21,11,25,24,16,5,14,34,38,18,19,37,4,8,2,17,39,32,3,13,27,6,1,29,7,35,31,15,10,9,12,40,23,20,33,26,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,4/14/23 0:26,0,0,46,46,0,0,1.17
166,,,avila,interview,4/14/23 0:18,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,This is a year old baby girl because of the hair patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,16,32,31,3,12,39,9,13,25,36,11,23,6,21,40,34,14,8,4,22,7,10,30,26,27,29,38,33,19,24,20,2,35,5,17,15,18,37,28,1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16312,,,,,,,,,,,,,,,,,,,,,,,108,,4/14/23 4:51,0,0,66,66,0,0,1
168,,,avila,interview,4/14/23 0:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,36,31,18,20,2,40,13,30,3,38,14,8,21,27,7,28,37,1,17,19,35,29,24,6,11,16,34,26,4,39,10,12,22,25,23,32,5,33,15,9,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,4/14/23 0:26,0,0,2,2,,,0.45
169,,,avila,interview,4/14/23 0:27,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Looks very sad & hurt feelings,,Child looks like he is not understanding,,,,,,,,,,,,,,,,,,,,,,,44,34,36,26,23,5,13,40,33,9,28,35,22,32,15,20,3,39,37,6,18,12,29,30,38,8,27,1,31,17,16,19,25,2,10,21,11,24,14,4,7,8,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,13,95,,,6,84,,,,,,,,,,,,,,,206,,4/14/23 0:32,0,0,53,74,0,0,0.5
170,,,avila,interview,4/14/23 0:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,38,15,20,10,26,5,32,27,18,11,7,8,2,9,29,24,13,6,21,1,12,39,28,16,33,40,14,35,22,31,34,37,3,23,30,4,19,17,36,25,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,12,,4/14/23 0:29,0,0,77,77,0,0,2.02
182,,,avila,interview,4/14/23 1:50,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,22,17,8,40,26,36,7,13,39,12,6,31,37,28,29,15,34,9,24,19,2,30,20,3,4,1,18,35,5,11,25,16,38,27,23,21,10,32,14,33,124,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,4/14/23 1:54,0,0,46,46,50,50,0.72
184,,,avila,interview,4/14/23 1:54,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,,,,,This little boy might be 3 years old.,,This little boy might be 3 years old.,,,This five year old little girl is crying heavily in this photo.,,,,,,,,This little boy may be four years old.,,This little boy might be two years old.,,The girl in this photo might be three years old.,,This little boy might be 3 or 4.,"This little baby girl, maybe a year or two old, appears to be crying in this photo.",This photo is of a little boy that is probably no older than 3 years old.,,,,"This four year old little boy appears cold, dirty, and uncomfortable.","This small boy is probably around 6 years old, and seems stoic.",This little boy may be four years old.,This baby girl is likely less than one year old.,This little boy might be two years old.,This cute baby appears to be a 2 year old girl.,This little boy might be 2 or 3 years old.,,,,,1,6,2,2,2,2,2,2,2,6,3,3,2,6,1,2,5,5,2,2,This little boy appears determined but tired.,"I imagine that this person is feeling slightly annoyed, but generally content.",This child appears shocked and surprised.,"This child seems confused, sad, or dissapointed.",,This little girl appears sad yet calm.,,This person seems upset and angry.,This little boy seems exhausted and discontent.,,This little girl seems content but sleepy.,This child appears sad and let down.,This girl seems very sad yet tired and defeated.,This little boy appears distressed and very upset.,"This little boy appears very upset, sad, and tired.",This baby feels very upset.,"This child looks sad, angry, and tired.",,"This baby likely feels hungry, sick, uncomfortable, sad, scared, and so on.",,"This child appears confused, in disagreement, or bothered by something.",,"This child probably feels tired, hungry, and exhausted.",,,,"A young child that is thinking deeply about something, he may be dissapointed. ",This little girl appears stoic and calm but may be feeling sad.,"The girl in this picture appears like she may be tired, dissapointed, or bothered.",,,,,,,,This baby looks sad yet calm,This little boy seems sad and frustrated.,"This little boy appears sad, but not extremely upset.",This baby seems sad and dissapointed.,Unpleasant,At random ,Not necessarily,Not that I noticed,2,2,3,4,2,2,2,4,Female,White,24,3,1,4,48,27,26,2,4,25,38,31,39,6,10,15,30,40,5,19,28,32,37,35,17,7,29,36,12,21,34,14,13,18,9,8,1,22,3,11,20,16,24,23,33,28,44,4,19,4,47,4,71,4,28,7,22,44,28,5,73,3,20,5,23,12,45,5,17,67,23,7,22,6,16,11,38,3,12,3,14,68,12,3,31,4,15,4,23,4,17,5,23,5,14,4,35,5,33,11,32,4,21,31,25,35,42,4,41,6,14,4,15,4,17,4,27,36,14,13,33,4,21,5,25,5,18,60,19,32,63,17,,1509,,4/14/23 2:24,1,0,87,87,0,0,0.94
